Designator,Mid X,Mid Y,Rotation,Layer
C1,183.967499,-92.9235,180.0,top
C10,147.574,-106.807,90.0,top
C11,147.574,-101.219,90.0,top
C12,161.355,-101.9405,90.0,top
C13,82.996,-86.106,270.0,top
C14,86.806,-86.106,270.0,top
C15,110.6285,-117.6885,0.0,top
C16,99.2585,-117.6885,0.0,top
C17,107.888,-86.4465,0.0,top
C18,103.251,-82.0015,0.0,top
C19,109.285,-82.1285,270.0,top
C2,183.967499,-101.1785,180.0,top
C20,80.075,-102.9565,0.0,top
C21,86.0845,-103.124,270.0,top
C22,84.266,-113.471,270.0,top
C23,77.916,-86.106,270.0,top
C24,86.806,-91.881,270.0,top
C25,206.694,-120.396,270.0,top
C26,188.279,-120.396,270.0,top
C27,204.662,-101.346,270.0,top
C3,167.9945,-99.187,270.0,top
C4,171.896,-101.583,90.0,top
C5,171.775499,-90.611,90.0,top
C6,176.976,-101.583,270.0,top
C7,167.1055,-95.885,0.0,top
C8,144.526,-101.219,90.0,top
C9,144.526,-106.807,90.0,top
D1,97.474,-89.7485,180.0,top
D10,180.024,-124.0385,0.0,top
D11,163.768,-121.4985,0.0,top
D12,170.118,-121.4985,0.0,top
D2,97.474,-85.9385,180.0,top
D3,89.981,-86.0655,90.0,top
D4,88.09475,-122.796,0.0,top
D5,193.74,-120.6085,90.0,top
D6,198.566,-124.0385,0.0,top
D7,191.708,-101.767,90.0,top
D8,196.535,-104.9885,0.0,top
D9,175.355,-120.6085,90.0,top
J1,166.051,-83.3985,180.0,top
J2,125.316,-119.4835,0.0,top
J3,149.917,-119.4835,0.0,top
J4,199.936,-80.1085,270.0,top
J5,213.506,-99.4485,90.0,top
J6,90.201,-77.111,180.0,top
K1,197.941,-112.2685,270.0,top
K2,179.4505,-112.2685,270.0,top
K3,195.80475,-93.2255,270.0,top
Q1,95.3735,-113.5585,0.0,top
Q2,106.1685,-113.5585,0.0,top
Q3,199.836,-119.9335,180.0,top
Q4,181.3725,-119.9085,180.0,top
Q5,197.8825,-101.133,180.0,top
R1,139.8685,-86.4465,0.0,top
R10,121.096,-111.3385,90.0,top
R11,123.636,-111.3385,90.0,top
R12,118.556,-111.3385,90.0,top
R13,131.256,-111.3385,90.0,top
R14,126.176,-111.3385,90.0,top
R15,128.716,-111.3385,90.0,top
R16,133.796,-111.3385,90.0,top
R17,174.436,-101.583,270.0,top
R18,174.188499,-90.661,270.0,top
R19,165.8355,-99.187,270.0,top
R2,139.8685,-84.6685,0.0,top
R20,167.0555,-93.726,0.0,top
R21,167.065,-91.530685,180.0,top
R22,100.121,-113.521,90.0,top
R23,110.916,-113.521,90.0,top
R24,106.7685,-117.6885,0.0,top
R25,95.3985,-117.6885,0.0,top
R26,103.57,-93.201,90.0,top
R27,135.701,-97.646,90.0,top
R28,84.266,-108.441,270.0,top
R29,105.602,-93.201,90.0,top
R3,139.8685,-90.0025,0.0,top
R30,88.457,-117.6885,180.0,top
R31,92.775,-107.0205,0.0,top
R32,196.28,-119.871,90.0,top
R33,177.895,-119.871,90.0,top
R34,194.248,-101.0295,90.0,top
R35,161.609,-114.791,270.0,top
R36,164.149,-114.791,270.0,top
R37,167.959,-114.791,270.0,top
R38,170.499,-114.791,270.0,top
R39,92.7515,-103.7185,0.0,top
R4,139.8685,-88.2245,0.0,top
R40,92.775,-105.3695,0.0,top
R5,139.8685,-93.5585,0.0,top
R6,139.8685,-91.7805,0.0,top
R7,139.8685,-82.7635,180.0,top
R8,139.8685,-80.8585,180.0,top
R9,116.016,-111.3385,90.0,top
SW1,108.681,-122.706,180.0,top
SW2,97.251,-122.706,180.0,top
SW3,79.2485,-111.0435,90.0,top
U1,122.366,-88.3465,0.0,top
U2,174.253499,-96.0985,270.0,top
U3,154.751,-103.9725,270.0,top
U4,95.211,-99.1235,90.0,top
U5,80.202,-95.7175,90.0,top
